,,,,MB-clonallines-nla-karyo-plate2c5_124,MB-clonallines-nla-karyo-plate2c5_130,MB-clonallines-nla-karyo-plate2c5_132,MB-clonallines-nla-karyo-plate2c5_120,MB-clonallines-nla-karyo-plate2c5_122,MB-clonallines-nla-karyo-plate2c5_128,MB-clonallines-nla-karyo-plate2c5_134,MB-clonallines-nla-karyo-plate2c5_126,MB-clonallines-nla-karyo-plate2c5_111,MB-clonallines-nla-karyo-plate2c5_75,MB-clonallines-nla-karyo-plate2c5_109,MB-clonallines-nla-karyo-plate2c5_99,MB-clonallines-nla-karyo-plate2c5_103,MB-clonallines-nla-karyo-plate2c5_32,MB-clonallines-nla-karyo-plate2c5_105,MB-clonallines-nla-karyo-plate2c5_101,MB-clonallines-nla-karyo-plate2c5_125,MB-clonallines-nla-karyo-plate2c5_107,MB-clonallines-nla-karyo-plate2c5_38,MB-clonallines-nla-karyo-plate2c5_131,MB-clonallines-nla-karyo-plate2c5_56,MB-clonallines-nla-karyo-plate2c5_97,MB-clonallines-nla-karyo-plate2c5_74,MB-clonallines-nla-karyo-plate2c5_58,MB-clonallines-nla-karyo-plate2c5_121,MB-clonallines-nla-karyo-plate2c5_54,MB-clonallines-nla-karyo-plate2c5_168,MB-clonallines-nla-karyo-plate2c5_133,MB-clonallines-nla-karyo-plate2c5_148,MB-clonallines-nla-karyo-plate2c5_8,MB-clonallines-nla-karyo-plate2c5_158,MB-clonallines-nla-karyo-plate2c5_170,MB-clonallines-nla-karyo-plate2c5_50,MB-clonallines-nla-karyo-plate2c5_73,MB-clonallines-nla-karyo-plate2c5_80,MB-clonallines-nla-karyo-plate2c5_156,MB-clonallines-nla-karyo-plate2c5_26,MB-clonallines-nla-karyo-plate2c5_108,MB-clonallines-nla-karyo-plate2c5_48,MB-clonallines-nla-karyo-plate2c5_33,MB-clonallines-nla-karyo-plate2c5_28,MB-clonallines-nla-karyo-plate2c5_24,MB-clonallines-nla-karyo-plate2c5_127,MB-clonallines-nla-karyo-plate2c5_76,MB-clonallines-nla-karyo-plate2c5_1,MB-clonallines-nla-karyo-plate2c5_144,MB-clonallines-nla-karyo-plate2c5_135,MB-clonallines-nla-karyo-plate2c5_29,MB-clonallines-nla-karyo-plate2c5_79,MB-clonallines-nla-karyo-plate2c5_78,MB-clonallines-nla-karyo-plate2c5_146,MB-clonallines-nla-karyo-plate2c5_6,MB-clonallines-nla-karyo-plate2c5_35,MB-clonallines-nla-karyo-plate2c5_172,MB-clonallines-nla-karyo-plate2c5_96,MB-clonallines-nla-karyo-plate2c5_163,MB-clonallines-nla-karyo-plate2c5_77,MB-clonallines-nla-karyo-plate2c5_30,MB-clonallines-nla-karyo-plate2c5_5,MB-clonallines-nla-karyo-plate2c5_102,MB-clonallines-nla-karyo-plate2c5_9,MB-clonallines-nla-karyo-plate2c5_123,MB-clonallines-nla-karyo-plate2c5_84,MB-clonallines-nla-karyo-plate2c5_12,MB-clonallines-nla-karyo-plate2c5_52,MB-clonallines-nla-karyo-plate2c5_7,MB-clonallines-nla-karyo-plate2c5_31,MB-clonallines-nla-karyo-plate2c5_154,MB-clonallines-nla-karyo-plate2c5_152,MB-clonallines-nla-karyo-plate2c5_34,MB-clonallines-nla-karyo-plate2c5_150,MB-clonallines-nla-karyo-plate2c5_36,MB-clonallines-nla-karyo-plate2c5_14,MB-clonallines-nla-karyo-plate2c5_157,MB-clonallines-nla-karyo-plate2c5_39,MB-clonallines-nla-karyo-plate2c5_159,MB-clonallines-nla-karyo-plate2c5_206,MB-clonallines-nla-karyo-plate2c5_87,MB-clonallines-nla-karyo-plate2c5_104,MB-clonallines-nla-karyo-plate2c5_230,MB-clonallines-nla-karyo-plate2c5_82,MB-clonallines-nla-karyo-plate2c5_2,MB-clonallines-nla-karyo-plate2c5_155,MB-clonallines-nla-karyo-plate2c5_13,MB-clonallines-nla-karyo-plate2c5_137,MB-clonallines-nla-karyo-plate2c5_145,MB-clonallines-nla-karyo-plate2c5_85,MB-clonallines-nla-karyo-plate2c5_106,MB-clonallines-nla-karyo-plate2c5_313,MB-clonallines-nla-karyo-plate2c5_129,MB-clonallines-nla-karyo-plate2c5_86,MB-clonallines-nla-karyo-plate2c5_98,MB-clonallines-nla-karyo-plate2c5_15,MB-clonallines-nla-karyo-plate2c5_19,MB-clonallines-nla-karyo-plate2c5_83,MB-clonallines-nla-karyo-plate2c5_10,MB-clonallines-nla-karyo-plate2c5_37,MB-clonallines-nla-karyo-plate2c5_20,MB-clonallines-nla-karyo-plate2c5_153,MB-clonallines-nla-karyo-plate2c5_110,MB-clonallines-nla-karyo-plate2c5_16,MB-clonallines-nla-karyo-plate2c5_21,MB-clonallines-nla-karyo-plate2c5_3
None,1,3000000,3250000,20.0,38.0,26.0,29.0,42.0,16.0,31.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,3000000,3250000,12.0,42.0,18.0,24.0,32.0,16.0,16.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,3250000,3500000,41.0,60.0,61.0,72.0,59.0,45.0,60.0,35.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,3250000,3500000,8.0,18.0,18.0,30.0,26.0,22.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,3500000,3750000,44.0,70.0,98.0,78.0,107.0,87.0,67.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,3500000,3750000,4.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,3750000,4000000,37.0,56.0,67.0,85.0,50.0,47.0,73.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,4000000,4250000,24.0,88.0,51.0,62.0,64.0,50.0,54.0,68.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,4250000,4500000,45.0,66.0,88.0,82.0,77.0,57.0,103.0,28.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,4500000,4750000,42.0,124.0,108.0,93.0,128.0,64.0,79.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,4750000,5000000,52.0,111.0,87.0,89.0,87.0,71.0,89.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,5000000,5250000,39.0,85.0,71.0,56.0,66.0,56.0,87.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,5000000,5250000,8.0,22.0,16.0,22.0,32.0,26.0,14.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,194000000,194250000,38.0,115.0,100.0,81.0,118.0,59.0,71.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,5250000,5500000,10.0,12.0,12.0,12.0,12.0,10.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,5250000,5500000,33.0,66.0,44.0,55.0,61.0,42.0,46.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
