,,,,MB-clonallines-nla-karyo-plate2c6_131,MB-clonallines-nla-karyo-plate2c6_129,MB-clonallines-nla-karyo-plate2c6_135,MB-clonallines-nla-karyo-plate2c6_127,MB-clonallines-nla-karyo-plate2c6_121,MB-clonallines-nla-karyo-plate2c6_125,MB-clonallines-nla-karyo-plate2c6_133,MB-clonallines-nla-karyo-plate2c6_123,MB-clonallines-nla-karyo-plate2c6_228,MB-clonallines-nla-karyo-plate2c6_75,MB-clonallines-nla-karyo-plate2c6_106,MB-clonallines-nla-karyo-plate2c6_38,MB-clonallines-nla-karyo-plate2c6_254,MB-clonallines-nla-karyo-plate2c6_26,MB-clonallines-nla-karyo-plate2c6_73,MB-clonallines-nla-karyo-plate2c6_99,MB-clonallines-nla-karyo-plate2c6_77,MB-clonallines-nla-karyo-plate2c6_252,MB-clonallines-nla-karyo-plate2c6_102,MB-clonallines-nla-karyo-plate2c6_108,MB-clonallines-nla-karyo-plate2c6_145,MB-clonallines-nla-karyo-plate2c6_104,MB-clonallines-nla-karyo-plate2c6_166,MB-clonallines-nla-karyo-plate2c6_245,MB-clonallines-nla-karyo-plate2c6_230,MB-clonallines-nla-karyo-plate2c6_96,MB-clonallines-nla-karyo-plate2c6_132,MB-clonallines-nla-karyo-plate2c6_155,MB-clonallines-nla-karyo-plate2c6_182,MB-clonallines-nla-karyo-plate2c6_103,MB-clonallines-nla-karyo-plate2c6_109,MB-clonallines-nla-karyo-plate2c6_74,MB-clonallines-nla-karyo-plate2c6_83,MB-clonallines-nla-karyo-plate2c6_149,MB-clonallines-nla-karyo-plate2c6_120,MB-clonallines-nla-karyo-plate2c6_130,MB-clonallines-nla-karyo-plate2c6_159,MB-clonallines-nla-karyo-plate2c6_12,MB-clonallines-nla-karyo-plate2c6_134,MB-clonallines-nla-karyo-plate2c6_97,MB-clonallines-nla-karyo-plate2c6_81,MB-clonallines-nla-karyo-plate2c6_126,MB-clonallines-nla-karyo-plate2c6_147,MB-clonallines-nla-karyo-plate2c6_76,MB-clonallines-nla-karyo-plate2c6_79,MB-clonallines-nla-karyo-plate2c6_36,MB-clonallines-nla-karyo-plate2c6_111,MB-clonallines-nla-karyo-plate2c6_157,MB-clonallines-nla-karyo-plate2c6_98,MB-clonallines-nla-karyo-plate2c6_101,MB-clonallines-nla-karyo-plate2c6_58,MB-clonallines-nla-karyo-plate2c6_56,MB-clonallines-nla-karyo-plate2c6_87,MB-clonallines-nla-karyo-plate2c6_34,MB-clonallines-nla-karyo-plate2c6_151,MB-clonallines-nla-karyo-plate2c6_100,MB-clonallines-nla-karyo-plate2c6_110,MB-clonallines-nla-karyo-plate2c6_37,MB-clonallines-nla-karyo-plate2c6_15,MB-clonallines-nla-karyo-plate2c6_122,MB-clonallines-nla-karyo-plate2c6_168,MB-clonallines-nla-karyo-plate2c6_5,MB-clonallines-nla-karyo-plate2c6_24,MB-clonallines-nla-karyo-plate2c6_1,MB-clonallines-nla-karyo-plate2c6_153,MB-clonallines-nla-karyo-plate2c6_154,MB-clonallines-nla-karyo-plate2c6_82,MB-clonallines-nla-karyo-plate2c6_3,MB-clonallines-nla-karyo-plate2c6_85,MB-clonallines-nla-karyo-plate2c6_9,MB-clonallines-nla-karyo-plate2c6_10,MB-clonallines-nla-karyo-plate2c6_128,MB-clonallines-nla-karyo-plate2c6_105,MB-clonallines-nla-karyo-plate2c6_28,MB-clonallines-nla-karyo-plate2c6_144,MB-clonallines-nla-karyo-plate2c6_52,MB-clonallines-nla-karyo-plate2c6_54,MB-clonallines-nla-karyo-plate2c6_78,MB-clonallines-nla-karyo-plate2c6_13,MB-clonallines-nla-karyo-plate2c6_11,MB-clonallines-nla-karyo-plate2c6_50,MB-clonallines-nla-karyo-plate2c6_32,MB-clonallines-nla-karyo-plate2c6_30,MB-clonallines-nla-karyo-plate2c6_124,MB-clonallines-nla-karyo-plate2c6_80,MB-clonallines-nla-karyo-plate2c6_146,MB-clonallines-nla-karyo-plate2c6_14,MB-clonallines-nla-karyo-plate2c6_8,MB-clonallines-nla-karyo-plate2c6_2,MB-clonallines-nla-karyo-plate2c6_150,MB-clonallines-nla-karyo-plate2c6_170,MB-clonallines-nla-karyo-plate2c6_48,MB-clonallines-nla-karyo-plate2c6_35
None,1,3000000,3250000,28.0,8.0,10.0,21.0,10.0,12.0,21.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,3000000,3250000,26.0,8.0,12.0,14.0,16.0,28.0,38.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,3250000,3500000,81.0,22.0,41.0,47.0,25.0,33.0,74.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,3250000,3500000,26.0,2.0,14.0,26.0,14.0,16.0,28.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,3500000,3750000,82.0,13.0,49.0,104.0,54.0,76.0,79.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,3750000,4000000,80.0,17.0,50.0,70.0,33.0,39.0,73.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,4000000,4250000,83.0,10.0,35.0,57.0,29.0,52.0,44.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,4000000,4250000,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,4250000,4500000,75.0,20.0,48.0,70.0,46.0,48.0,72.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,4500000,4750000,106.0,22.0,47.0,81.0,62.0,68.0,87.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,4750000,5000000,128.0,28.0,48.0,87.0,60.0,78.0,84.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,5000000,5250000,56.0,18.0,67.0,51.0,36.0,54.0,46.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,5000000,5250000,28.0,4.0,10.0,24.0,6.0,18.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,5250000,5500000,78.0,8.0,35.0,51.0,42.0,45.0,28.0,12.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,5250000,5500000,12.0,6.0,8.0,12.0,14.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,5500000,5750000,88.0,26.0,36.0,59.0,33.0,55.0,61.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
