sampleName,,,,MB-clonallines-scars-plate1c1_29,MB-clonallines-scars-plate1c1_35,MB-clonallines-scars-plate1c1_37,MB-clonallines-scars-plate1c1_33,MB-clonallines-scars-plate1c1_31,MB-clonallines-scars-plate1c1_39,MB-clonallines-scars-plate1c1_25,MB-clonallines-scars-plate1c1_27,MB-clonallines-scars-plate1c1_13,MB-clonallines-scars-plate1c1_14,MB-clonallines-scars-plate1c1_30,MB-clonallines-scars-plate1c1_2,MB-clonallines-scars-plate1c1_12,MB-clonallines-scars-plate1c1_345,MB-clonallines-scars-plate1c1_86,MB-clonallines-scars-plate1c1_73,MB-clonallines-scars-plate1c1_16,MB-clonallines-scars-plate1c1_235,MB-clonallines-scars-plate1c1_109,MB-clonallines-scars-plate1c1_18,MB-clonallines-scars-plate1c1_7,MB-clonallines-scars-plate1c1_54,MB-clonallines-scars-plate1c1_85,MB-clonallines-scars-plate1c1_60,MB-clonallines-scars-plate1c1_148,MB-clonallines-scars-plate1c1_88,MB-clonallines-scars-plate1c1_107,MB-clonallines-scars-plate1c1_19,MB-clonallines-scars-plate1c1_181,MB-clonallines-scars-plate1c1_17,MB-clonallines-scars-plate1c1_372,MB-clonallines-scars-plate1c1_376,MB-clonallines-scars-plate1c1_6,MB-clonallines-scars-plate1c1_4,MB-clonallines-scars-plate1c1_218,MB-clonallines-scars-plate1c1_23,MB-clonallines-scars-plate1c1_147,MB-clonallines-scars-plate1c1_216,MB-clonallines-scars-plate1c1_303,MB-clonallines-scars-plate1c1_5,MB-clonallines-scars-plate1c1_178,MB-clonallines-scars-plate1c1_8,MB-clonallines-scars-plate1c1_274,MB-clonallines-scars-plate1c1_334,MB-clonallines-scars-plate1c1_333,MB-clonallines-scars-plate1c1_121,MB-clonallines-scars-plate1c1_95,MB-clonallines-scars-plate1c1_40,MB-clonallines-scars-plate1c1_3,MB-clonallines-scars-plate1c1_21,MB-clonallines-scars-plate1c1_117,MB-clonallines-scars-plate1c1_58,MB-clonallines-scars-plate1c1_144,MB-clonallines-scars-plate1c1_293,MB-clonallines-scars-plate1c1_207,MB-clonallines-scars-plate1c1_111,MB-clonallines-scars-plate1c1_61,MB-clonallines-scars-plate1c1_129,MB-clonallines-scars-plate1c1_356,MB-clonallines-scars-plate1c1_36,MB-clonallines-scars-plate1c1_62,MB-clonallines-scars-plate1c1_304,MB-clonallines-scars-plate1c1_143,MB-clonallines-scars-plate1c1_373,MB-clonallines-scars-plate1c1_122,MB-clonallines-scars-plate1c1_97,MB-clonallines-scars-plate1c1_83,MB-clonallines-scars-plate1c1_137,MB-clonallines-scars-plate1c1_24,MB-clonallines-scars-plate1c1_22,MB-clonallines-scars-plate1c1_328,MB-clonallines-scars-plate1c1_197,MB-clonallines-scars-plate1c1_145,MB-clonallines-scars-plate1c1_287,MB-clonallines-scars-plate1c1_190,MB-clonallines-scars-plate1c1_329,MB-clonallines-scars-plate1c1_298,MB-clonallines-scars-plate1c1_10,MB-clonallines-scars-plate1c1_249,MB-clonallines-scars-plate1c1_200,MB-clonallines-scars-plate1c1_32,MB-clonallines-scars-plate1c1_59,MB-clonallines-scars-plate1c1_267,MB-clonallines-scars-plate1c1_353,MB-clonallines-scars-plate1c1_49,MB-clonallines-scars-plate1c1_131,MB-clonallines-scars-plate1c1_256,MB-clonallines-scars-plate1c1_379,MB-clonallines-scars-plate1c1_45,MB-clonallines-scars-plate1c1_52,MB-clonallines-scars-plate1c1_51,MB-clonallines-scars-plate1c1_175,MB-clonallines-scars-plate1c1_9,MB-clonallines-scars-plate1c1_47,MB-clonallines-scars-plate1c1_82,MB-clonallines-scars-plate1c1_280,MB-clonallines-scars-plate1c1_155,MB-clonallines-scars-plate1c1_209,MB-clonallines-scars-plate1c1_79,MB-clonallines-scars-plate1c1_80,MB-clonallines-scars-plate1c1_92,MB-clonallines-scars-plate1c1_75,MB-clonallines-scars-plate1c1_380,MB-clonallines-scars-plate1c1_15,MB-clonallines-scars-plate1c1_159,MB-clonallines-scars-plate1c1_230,MB-clonallines-scars-plate1c1_285,MB-clonallines-scars-plate1c1_125,MB-clonallines-scars-plate1c1_320,MB-clonallines-scars-plate1c1_306,MB-clonallines-scars-plate1c1_243,MB-clonallines-scars-plate1c1_63,MB-clonallines-scars-plate1c1_105,MB-clonallines-scars-plate1c1_180,MB-clonallines-scars-plate1c1_210,MB-clonallines-scars-plate1c1_347,MB-clonallines-scars-plate1c1_290,MB-clonallines-scars-plate1c1_67,MB-clonallines-scars-plate1c1_81,MB-clonallines-scars-plate1c1_265,MB-clonallines-scars-plate1c1_96,MB-clonallines-scars-plate1c1_339,MB-clonallines-scars-plate1c1_227,MB-clonallines-scars-plate1c1_165,MB-clonallines-scars-plate1c1_98,MB-clonallines-scars-plate1c1_118,MB-clonallines-scars-plate1c1_115,MB-clonallines-scars-plate1c1_199,MB-clonallines-scars-plate1c1_130,MB-clonallines-scars-plate1c1_113,MB-clonallines-scars-plate1c1_237,MB-clonallines-scars-plate1c1_374,MB-clonallines-scars-plate1c1_206,MB-clonallines-scars-plate1c1_134,MB-clonallines-scars-plate1c1_76,MB-clonallines-scars-plate1c1_299,MB-clonallines-scars-plate1c1_378,MB-clonallines-scars-plate1c1_313,MB-clonallines-scars-plate1c1_69,MB-clonallines-scars-plate1c1_224,MB-clonallines-scars-plate1c1_154,MB-clonallines-scars-plate1c1_246,MB-clonallines-scars-plate1c1_193,MB-clonallines-scars-plate1c1_215,MB-clonallines-scars-plate1c1_71,MB-clonallines-scars-plate1c1_104,MB-clonallines-scars-plate1c1_89,MB-clonallines-scars-plate1c1_44,MB-clonallines-scars-plate1c1_158,MB-clonallines-scars-plate1c1_53,MB-clonallines-scars-plate1c1_359,MB-clonallines-scars-plate1c1_365,MB-clonallines-scars-plate1c1_20,MB-clonallines-scars-plate1c1_26,MB-clonallines-scars-plate1c1_150,MB-clonallines-scars-plate1c1_170
chrom,allele,siteCoordinate,scarDescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,None,60445832,WT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,None,22973183,WT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114513427,WT,5.0,12.0,59.0,17.0,7.0,8.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114676846,G.114677004.I,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114676846,WT,40.0,19.0,160.0,76.0,62.0,111.0,4.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,WT,3584.0,2930.0,13401.0,475.0,1779.0,3366.0,1083.0,1179.0,,2.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,WT,4564.0,3904.0,17794.0,618.0,2278.0,4813.0,1532.0,1735.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,WT,1387.0,1093.0,5541.0,405.0,769.0,1405.0,470.0,552.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,"114682785.D,114682786.D,114682787.D,114682788.D,114682789.D,114682790.D",24.0,18.0,105.0,105.0,16.0,27.0,14.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,"114682937.D,114682938.D",1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,"114682785.D,114682786.D,114682787.D,114682788.D,114682789.D,114682790.D",161.0,84.0,502.0,4965.0,75.0,120.0,47.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,A.114682940.I,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682941.D,3.0,3.0,11.0,,3.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,114682879.D,2.0,,3.0,,1.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
