sampleName,,,,MB-clonallines-scars-plate2c2_62,MB-clonallines-scars-plate2c2_52,MB-clonallines-scars-plate2c2_60,MB-clonallines-scars-plate2c2_54,MB-clonallines-scars-plate2c2_58,MB-clonallines-scars-plate2c2_64,MB-clonallines-scars-plate2c2_50,MB-clonallines-scars-plate2c2_88,MB-clonallines-scars-plate2c2_56,MB-clonallines-scars-plate2c2_1,MB-clonallines-scars-plate2c2_207,MB-clonallines-scars-plate2c2_86,MB-clonallines-scars-plate2c2_264,MB-clonallines-scars-plate2c2_82,MB-clonallines-scars-plate2c2_80,MB-clonallines-scars-plate2c2_76,MB-clonallines-scars-plate2c2_13,MB-clonallines-scars-plate2c2_361,MB-clonallines-scars-plate2c2_109,MB-clonallines-scars-plate2c2_131,MB-clonallines-scars-plate2c2_37,MB-clonallines-scars-plate2c2_343,MB-clonallines-scars-plate2c2_38,MB-clonallines-scars-plate2c2_78,MB-clonallines-scars-plate2c2_168,MB-clonallines-scars-plate2c2_39,MB-clonallines-scars-plate2c2_100,MB-clonallines-scars-plate2c2_193,MB-clonallines-scars-plate2c2_170,MB-clonallines-scars-plate2c2_209,MB-clonallines-scars-plate2c2_132,MB-clonallines-scars-plate2c2_97,MB-clonallines-scars-plate2c2_99,MB-clonallines-scars-plate2c2_370,MB-clonallines-scars-plate2c2_21,MB-clonallines-scars-plate2c2_8,MB-clonallines-scars-plate2c2_90,MB-clonallines-scars-plate2c2_3,MB-clonallines-scars-plate2c2_172,MB-clonallines-scars-plate2c2_15,MB-clonallines-scars-plate2c2_129,MB-clonallines-scars-plate2c2_145,MB-clonallines-scars-plate2c2_105,MB-clonallines-scars-plate2c2_74,MB-clonallines-scars-plate2c2_16,MB-clonallines-scars-plate2c2_376,MB-clonallines-scars-plate2c2_40,MB-clonallines-scars-plate2c2_125,MB-clonallines-scars-plate2c2_29,MB-clonallines-scars-plate2c2_149,MB-clonallines-scars-plate2c2_14,MB-clonallines-scars-plate2c2_85,MB-clonallines-scars-plate2c2_7,MB-clonallines-scars-plate2c2_35,MB-clonallines-scars-plate2c2_108,MB-clonallines-scars-plate2c2_20,MB-clonallines-scars-plate2c2_103,MB-clonallines-scars-plate2c2_41,MB-clonallines-scars-plate2c2_84,MB-clonallines-scars-plate2c2_123,MB-clonallines-scars-plate2c2_59,MB-clonallines-scars-plate2c2_133,MB-clonallines-scars-plate2c2_72,MB-clonallines-scars-plate2c2_79,MB-clonallines-scars-plate2c2_51,MB-clonallines-scars-plate2c2_106,MB-clonallines-scars-plate2c2_111,MB-clonallines-scars-plate2c2_25,MB-clonallines-scars-plate2c2_239,MB-clonallines-scars-plate2c2_31,MB-clonallines-scars-plate2c2_92,MB-clonallines-scars-plate2c2_188,MB-clonallines-scars-plate2c2_147,MB-clonallines-scars-plate2c2_177,MB-clonallines-scars-plate2c2_329,MB-clonallines-scars-plate2c2_26,MB-clonallines-scars-plate2c2_2,MB-clonallines-scars-plate2c2_379,MB-clonallines-scars-plate2c2_151,MB-clonallines-scars-plate2c2_309,MB-clonallines-scars-plate2c2_36,MB-clonallines-scars-plate2c2_142,MB-clonallines-scars-plate2c2_200,MB-clonallines-scars-plate2c2_257,MB-clonallines-scars-plate2c2_150,MB-clonallines-scars-plate2c2_249,MB-clonallines-scars-plate2c2_30,MB-clonallines-scars-plate2c2_67,MB-clonallines-scars-plate2c2_98
chrom,allele,siteCoordinate,scarDescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,None,121763233,WT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,None,22973181,WT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114513427,WT,2.0,12.0,51.0,44.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114676846,WT,108.0,22.0,11.0,88.0,11.0,1.0,14.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114676846,114676929.D,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,WT,1541.0,1343.0,108.0,463.0,983.0,74.0,170.0,1.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,WT,10813.0,11523.0,351.0,3922.0,7711.0,662.0,1312.0,2.0,563.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,WT,9950.0,9670.0,392.0,3188.0,5857.0,372.0,1418.0,,371.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,"114682785.D,114682786.D,114682787.D,114682788.D,114682789.D,114682790.D",394.0,459.0,6897.0,116.0,295.0,13.0,52.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682887.D,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,114682941.D,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,114682879.D,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,"114682785.D,114682786.D,114682787.D,114682788.D,114682789.D,114682790.D",28.0,24.0,47.0,7.0,17.0,3.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,A.114682940.I,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682940.D,6.0,1.0,,3.0,2.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,"114682778.D,114682779.D,114682780.D,114682781.D,114682782.D",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682941.D,7.0,5.0,2.0,4.0,10.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682939.D,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,"114682776.D,114682777.D,114682778.D,114682779.D,114682780.D",3.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,"114682780.D,114682781.D,114682782.D,114682783.D,114682784.D,114682785.D,114682786.D,114682787.D,114682788.D",1.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
