,,,,MB-clonallines-nla-karyo-plate1c1_30,MB-clonallines-nla-karyo-plate1c1_38,MB-clonallines-nla-karyo-plate1c1_32,MB-clonallines-nla-karyo-plate1c1_24,MB-clonallines-nla-karyo-plate1c1_34,MB-clonallines-nla-karyo-plate1c1_28,MB-clonallines-nla-karyo-plate1c1_36,MB-clonallines-nla-karyo-plate1c1_26,MB-clonallines-nla-karyo-plate1c1_78,MB-clonallines-nla-karyo-plate1c1_99,MB-clonallines-nla-karyo-plate1c1_27,MB-clonallines-nla-karyo-plate1c1_107,MB-clonallines-nla-karyo-plate1c1_109,MB-clonallines-nla-karyo-plate1c1_33,MB-clonallines-nla-karyo-plate1c1_39,MB-clonallines-nla-karyo-plate1c1_50,MB-clonallines-nla-karyo-plate1c1_144,MB-clonallines-nla-karyo-plate1c1_130,MB-clonallines-nla-karyo-plate1c1_29,MB-clonallines-nla-karyo-plate1c1_58,MB-clonallines-nla-karyo-plate1c1_77,MB-clonallines-nla-karyo-plate1c1_197,MB-clonallines-nla-karyo-plate1c1_105,MB-clonallines-nla-karyo-plate1c1_103,MB-clonallines-nla-karyo-plate1c1_97,MB-clonallines-nla-karyo-plate1c1_111,MB-clonallines-nla-karyo-plate1c1_101,MB-clonallines-nla-karyo-plate1c1_102,MB-clonallines-nla-karyo-plate1c1_48,MB-clonallines-nla-karyo-plate1c1_56,MB-clonallines-nla-karyo-plate1c1_159,MB-clonallines-nla-karyo-plate1c1_35,MB-clonallines-nla-karyo-plate1c1_146,MB-clonallines-nla-karyo-plate1c1_54,MB-clonallines-nla-karyo-plate1c1_75,MB-clonallines-nla-karyo-plate1c1_73,MB-clonallines-nla-karyo-plate1c1_4,MB-clonallines-nla-karyo-plate1c1_125,MB-clonallines-nla-karyo-plate1c1_15,MB-clonallines-nla-karyo-plate1c1_128,MB-clonallines-nla-karyo-plate1c1_131,MB-clonallines-nla-karyo-plate1c1_17,MB-clonallines-nla-karyo-plate1c1_31,MB-clonallines-nla-karyo-plate1c1_81,MB-clonallines-nla-karyo-plate1c1_86,MB-clonallines-nla-karyo-plate1c1_100,MB-clonallines-nla-karyo-plate1c1_148,MB-clonallines-nla-karyo-plate1c1_158,MB-clonallines-nla-karyo-plate1c1_154,MB-clonallines-nla-karyo-plate1c1_52,MB-clonallines-nla-karyo-plate1c1_80,MB-clonallines-nla-karyo-plate1c1_76,MB-clonallines-nla-karyo-plate1c1_98,MB-clonallines-nla-karyo-plate1c1_122,MB-clonallines-nla-karyo-plate1c1_127,MB-clonallines-nla-karyo-plate1c1_1,MB-clonallines-nla-karyo-plate1c1_25,MB-clonallines-nla-karyo-plate1c1_132,MB-clonallines-nla-karyo-plate1c1_8,MB-clonallines-nla-karyo-plate1c1_74,MB-clonallines-nla-karyo-plate1c1_79,MB-clonallines-nla-karyo-plate1c1_85,MB-clonallines-nla-karyo-plate1c1_104,MB-clonallines-nla-karyo-plate1c1_82,MB-clonallines-nla-karyo-plate1c1_156,MB-clonallines-nla-karyo-plate1c1_106,MB-clonallines-nla-karyo-plate1c1_87,MB-clonallines-nla-karyo-plate1c1_168,MB-clonallines-nla-karyo-plate1c1_126,MB-clonallines-nla-karyo-plate1c1_13,MB-clonallines-nla-karyo-plate1c1_20,MB-clonallines-nla-karyo-plate1c1_134,MB-clonallines-nla-karyo-plate1c1_150,MB-clonallines-nla-karyo-plate1c1_120,MB-clonallines-nla-karyo-plate1c1_5,MB-clonallines-nla-karyo-plate1c1_155,MB-clonallines-nla-karyo-plate1c1_84,MB-clonallines-nla-karyo-plate1c1_42,MB-clonallines-nla-karyo-plate1c1_9,MB-clonallines-nla-karyo-plate1c1_37,MB-clonallines-nla-karyo-plate1c1_16,MB-clonallines-nla-karyo-plate1c1_108,MB-clonallines-nla-karyo-plate1c1_96,MB-clonallines-nla-karyo-plate1c1_152,MB-clonallines-nla-karyo-plate1c1_124,MB-clonallines-nla-karyo-plate1c1_72,MB-clonallines-nla-karyo-plate1c1_147,MB-clonallines-nla-karyo-plate1c1_121,MB-clonallines-nla-karyo-plate1c1_157,MB-clonallines-nla-karyo-plate1c1_12,MB-clonallines-nla-karyo-plate1c1_14,MB-clonallines-nla-karyo-plate1c1_235,MB-clonallines-nla-karyo-plate1c1_83,MB-clonallines-nla-karyo-plate1c1_23,MB-clonallines-nla-karyo-plate1c1_133,MB-clonallines-nla-karyo-plate1c1_145,MB-clonallines-nla-karyo-plate1c1_153,MB-clonallines-nla-karyo-plate1c1_18,MB-clonallines-nla-karyo-plate1c1_135,MB-clonallines-nla-karyo-plate1c1_110,MB-clonallines-nla-karyo-plate1c1_6,MB-clonallines-nla-karyo-plate1c1_129
None,1,3000000,3250000,24.0,24.0,44.0,26.0,23.0,14.0,20.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,3000000,3250000,24.0,32.0,34.0,22.0,17.0,10.0,16.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,3250000,3500000,30.0,40.0,58.0,22.0,26.0,10.0,26.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,3250000,3500000,44.0,61.0,97.0,42.0,34.0,36.0,32.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,3500000,3750000,67.0,104.0,127.0,80.0,75.0,35.0,58.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,3750000,4000000,44.0,103.0,84.0,64.0,48.0,42.0,38.0,40.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,4000000,4250000,48.0,80.0,102.0,66.0,75.0,31.0,35.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,4250000,4500000,84.0,86.0,111.0,81.0,81.0,30.0,42.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,4250000,4500000,4.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,4500000,4750000,73.0,109.0,127.0,73.0,80.0,50.0,48.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,4750000,5000000,107.0,119.0,114.0,79.0,112.0,47.0,57.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,5000000,5250000,76.0,90.0,123.0,51.0,82.0,25.0,38.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,5000000,5250000,20.0,28.0,34.0,20.0,14.0,4.0,16.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,5250000,5500000,10.0,16.0,18.0,18.0,4.0,6.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,5250000,5500000,51.0,67.0,92.0,59.0,72.0,23.0,47.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,5500000,5750000,67.0,92.0,92.0,48.0,71.0,22.0,66.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,5750000,6000000,49.0,94.0,93.0,72.0,86.0,24.0,47.0,36.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,6000000,6250000,73.0,105.0,88.0,79.0,72.0,25.0,45.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,6250000,6500000,78.0,94.0,113.0,72.0,78.0,30.0,62.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,6500000,6750000,52.0,65.0,99.0,60.0,77.0,28.0,52.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,6750000,7000000,65.0,88.0,132.0,96.0,84.0,38.0,60.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,6750000,7000000,12.0,28.0,16.0,18.0,30.0,6.0,6.0,8.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,7000000,7250000,14.0,20.0,17.0,16.0,14.0,12.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,7000000,7250000,55.0,60.0,71.0,43.0,54.0,20.0,39.0,32.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,7250000,7500000,10.0,6.0,8.0,2.0,4.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,7250000,7500000,32.0,54.0,72.0,54.0,23.0,26.0,31.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,7500000,7750000,45.0,45.0,35.0,34.0,38.0,16.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,7500000,7750000,34.0,44.0,46.0,28.0,24.0,20.0,16.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,7750000,8000000,34.0,43.0,37.0,32.0,30.0,6.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,7750000,8000000,22.0,20.0,48.0,26.0,18.0,12.0,12.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8000000,8250000,27.0,28.0,39.0,21.0,28.0,10.0,9.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8000000,8250000,26.0,20.0,40.0,36.0,22.0,22.0,28.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8250000,8500000,16.0,20.0,20.0,28.0,16.0,8.0,18.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8250000,8500000,51.0,59.0,52.0,38.0,36.0,11.0,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8500000,8750000,34.0,38.0,34.0,18.0,34.0,10.0,24.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8500000,8750000,15.0,42.0,34.0,24.0,27.0,25.0,14.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8750000,9000000,35.0,52.0,60.0,38.0,31.0,22.0,26.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8750000,9000000,26.0,44.0,42.0,36.0,28.0,20.0,24.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9000000,9250000,24.0,40.0,60.0,32.0,14.0,6.0,16.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9000000,9250000,24.0,35.0,60.0,23.0,47.0,19.0,41.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9250000,9500000,10.0,14.0,20.0,14.0,16.0,8.0,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9250000,9500000,50.0,80.0,92.0,37.0,46.0,36.0,44.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9500000,9750000,68.0,88.0,107.0,82.0,60.0,44.0,41.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9500000,9750000,4.0,18.0,18.0,22.0,18.0,8.0,18.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9750000,10000000,87.0,112.0,143.0,93.0,64.0,36.0,44.0,42.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9750000,10000000,32.0,26.0,30.0,12.0,26.0,10.0,20.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10000000,10250000,65.0,143.0,134.0,99.0,96.0,39.0,65.0,92.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10000000,10250000,10.0,2.0,8.0,6.0,6.0,2.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10250000,10500000,55.0,89.0,88.0,68.0,68.0,20.0,39.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10250000,10500000,12.0,6.0,24.0,20.0,20.0,8.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10500000,10750000,56.0,51.0,98.0,40.0,61.0,15.0,38.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10500000,10750000,14.0,22.0,24.0,22.0,16.0,14.0,14.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10750000,11000000,60.0,79.0,92.0,79.0,77.0,23.0,32.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10750000,11000000,10.0,6.0,18.0,18.0,10.0,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,11000000,11250000,24.0,44.0,54.0,28.0,42.0,28.0,18.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11000000,11250000,61.0,64.0,99.0,80.0,37.0,40.0,35.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11250000,11500000,65.0,136.0,145.0,113.0,80.0,37.0,32.0,70.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11500000,11750000,42.0,63.0,59.0,35.0,49.0,32.0,28.0,28.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,11500000,11750000,36.0,38.0,46.0,26.0,36.0,16.0,18.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,11750000,12000000,38.0,38.0,34.0,32.0,34.0,6.0,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11750000,12000000,25.0,50.0,41.0,35.0,33.0,14.0,27.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,12000000,12250000,60.0,88.0,143.0,52.0,90.0,26.0,50.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,12250000,12500000,73.0,104.0,136.0,83.0,71.0,53.0,55.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,12250000,12500000,2.0,,6.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,12250000,12500000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,12500000,12750000,82.0,108.0,123.0,110.0,96.0,39.0,75.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,12500000,12750000,12.0,6.0,6.0,10.0,8.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,12750000,13000000,69.0,76.0,94.0,55.0,47.0,40.0,42.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,12750000,13000000,23.0,40.0,68.0,36.0,22.0,6.0,20.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,13000000,13250000,73.0,93.0,121.0,44.0,62.0,43.0,64.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
