sampleName,,,,MB-clonallines-scars-plate2c4_74,MB-clonallines-scars-plate2c4_88,MB-clonallines-scars-plate2c4_312,MB-clonallines-scars-plate2c4_86,MB-clonallines-scars-plate2c4_84,MB-clonallines-scars-plate2c4_78,MB-clonallines-scars-plate2c4_76,MB-clonallines-scars-plate2c4_82,MB-clonallines-scars-plate2c4_80,MB-clonallines-scars-plate2c4_300,MB-clonallines-scars-plate2c4_31,MB-clonallines-scars-plate2c4_21,MB-clonallines-scars-plate2c4_131,MB-clonallines-scars-plate2c4_117,MB-clonallines-scars-plate2c4_39,MB-clonallines-scars-plate2c4_19,MB-clonallines-scars-plate2c4_79,MB-clonallines-scars-plate2c4_123,MB-clonallines-scars-plate2c4_108,MB-clonallines-scars-plate2c4_129,MB-clonallines-scars-plate2c4_17,MB-clonallines-scars-plate2c4_97,MB-clonallines-scars-plate2c4_376,MB-clonallines-scars-plate2c4_368,MB-clonallines-scars-plate2c4_37,MB-clonallines-scars-plate2c4_18,MB-clonallines-scars-plate2c4_43,MB-clonallines-scars-plate2c4_247,MB-clonallines-scars-plate2c4_109,MB-clonallines-scars-plate2c4_334,MB-clonallines-scars-plate2c4_20,MB-clonallines-scars-plate2c4_3,MB-clonallines-scars-plate2c4_121,MB-clonallines-scars-plate2c4_7,MB-clonallines-scars-plate2c4_1,MB-clonallines-scars-plate2c4_56,MB-clonallines-scars-plate2c4_30,MB-clonallines-scars-plate2c4_196,MB-clonallines-scars-plate2c4_248,MB-clonallines-scars-plate2c4_145,MB-clonallines-scars-plate2c4_52,MB-clonallines-scars-plate2c4_384,MB-clonallines-scars-plate2c4_150,MB-clonallines-scars-plate2c4_34,MB-clonallines-scars-plate2c4_115,MB-clonallines-scars-plate2c4_133,MB-clonallines-scars-plate2c4_239,MB-clonallines-scars-plate2c4_62,MB-clonallines-scars-plate2c4_22,MB-clonallines-scars-plate2c4_29,MB-clonallines-scars-plate2c4_85,MB-clonallines-scars-plate2c4_216,MB-clonallines-scars-plate2c4_2,MB-clonallines-scars-plate2c4_180,MB-clonallines-scars-plate2c4_308,MB-clonallines-scars-plate2c4_331,MB-clonallines-scars-plate2c4_67,MB-clonallines-scars-plate2c4_110,MB-clonallines-scars-plate2c4_45,MB-clonallines-scars-plate2c4_225,MB-clonallines-scars-plate2c4_35,MB-clonallines-scars-plate2c4_36,MB-clonallines-scars-plate2c4_26,MB-clonallines-scars-plate2c4_224,MB-clonallines-scars-plate2c4_50,MB-clonallines-scars-plate2c4_186,MB-clonallines-scars-plate2c4_256,MB-clonallines-scars-plate2c4_137,MB-clonallines-scars-plate2c4_58,MB-clonallines-scars-plate2c4_174,MB-clonallines-scars-plate2c4_46,MB-clonallines-scars-plate2c4_223,MB-clonallines-scars-plate2c4_125,MB-clonallines-scars-plate2c4_27,MB-clonallines-scars-plate2c4_347,MB-clonallines-scars-plate2c4_100,MB-clonallines-scars-plate2c4_47,MB-clonallines-scars-plate2c4_293,MB-clonallines-scars-plate2c4_72,MB-clonallines-scars-plate2c4_16,MB-clonallines-scars-plate2c4_299,MB-clonallines-scars-plate2c4_99,MB-clonallines-scars-plate2c4_134,MB-clonallines-scars-plate2c4_226,MB-clonallines-scars-plate2c4_272,MB-clonallines-scars-plate2c4_107,MB-clonallines-scars-plate2c4_149,MB-clonallines-scars-plate2c4_4,MB-clonallines-scars-plate2c4_267,MB-clonallines-scars-plate2c4_280,MB-clonallines-scars-plate2c4_105,MB-clonallines-scars-plate2c4_135,MB-clonallines-scars-plate2c4_372,MB-clonallines-scars-plate2c4_348,MB-clonallines-scars-plate2c4_260,MB-clonallines-scars-plate2c4_359,MB-clonallines-scars-plate2c4_60,MB-clonallines-scars-plate2c4_296
chrom,allele,siteCoordinate,scarDescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,None,45486241,WT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,None,60445832,WT,3.0,17.0,1.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,None,121763233,WT,1.0,11.0,,3.0,,2.0,10.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,39467887,WT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114513427,WT,8.0,66.0,,21.0,1.0,34.0,17.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114676846,WT,13.0,466.0,,17.0,179.0,10.0,164.0,102.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682887.D,1.0,6.0,,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682879.D,3.0,21.0,,5.0,,6.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,WT,2086.0,9396.0,,1255.0,102.0,1012.0,2352.0,1401.0,1883.0,6.0,,,1.0,,1.0,1.0,6.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682941.D,3.0,15.0,,4.0,,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,WT,2242.0,12404.0,,1319.0,437.0,1267.0,2965.0,1595.0,1974.0,1.0,1.0,,,,,,5.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,WT,740.0,3892.0,,386.0,139.0,357.0,894.0,496.0,648.0,2.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
