sampleName,,,,MB-clonallines-scars-plate2c1_53,MB-clonallines-scars-plate2c1_51,MB-clonallines-scars-plate2c1_63,MB-clonallines-scars-plate2c1_49,MB-clonallines-scars-plate2c1_59,MB-clonallines-scars-plate2c1_57,MB-clonallines-scars-plate2c1_61,MB-clonallines-scars-plate2c1_55,MB-clonallines-scars-plate2c1_12,MB-clonallines-scars-plate2c1_16,MB-clonallines-scars-plate2c1_98,MB-clonallines-scars-plate2c1_13,MB-clonallines-scars-plate2c1_145,MB-clonallines-scars-plate2c1_14,MB-clonallines-scars-plate2c1_15,MB-clonallines-scars-plate2c1_147,MB-clonallines-scars-plate2c1_35,MB-clonallines-scars-plate2c1_307,MB-clonallines-scars-plate2c1_50,MB-clonallines-scars-plate2c1_79,MB-clonallines-scars-plate2c1_73,MB-clonallines-scars-plate2c1_42,MB-clonallines-scars-plate2c1_47,MB-clonallines-scars-plate2c1_9,MB-clonallines-scars-plate2c1_75,MB-clonallines-scars-plate2c1_19,MB-clonallines-scars-plate2c1_22,MB-clonallines-scars-plate2c1_7,MB-clonallines-scars-plate2c1_146,MB-clonallines-scars-plate2c1_255,MB-clonallines-scars-plate2c1_44,MB-clonallines-scars-plate2c1_11,MB-clonallines-scars-plate2c1_253,MB-clonallines-scars-plate2c1_46,MB-clonallines-scars-plate2c1_10,MB-clonallines-scars-plate2c1_77,MB-clonallines-scars-plate2c1_310,MB-clonallines-scars-plate2c1_356,MB-clonallines-scars-plate2c1_20,MB-clonallines-scars-plate2c1_43,MB-clonallines-scars-plate2c1_121,MB-clonallines-scars-plate2c1_99,MB-clonallines-scars-plate2c1_45,MB-clonallines-scars-plate2c1_109,MB-clonallines-scars-plate2c1_30,MB-clonallines-scars-plate2c1_283,MB-clonallines-scars-plate2c1_33,MB-clonallines-scars-plate2c1_154,MB-clonallines-scars-plate2c1_37,MB-clonallines-scars-plate2c1_217,MB-clonallines-scars-plate2c1_48,MB-clonallines-scars-plate2c1_70,MB-clonallines-scars-plate2c1_303,MB-clonallines-scars-plate2c1_78,MB-clonallines-scars-plate2c1_177,MB-clonallines-scars-plate2c1_329,MB-clonallines-scars-plate2c1_369,MB-clonallines-scars-plate2c1_156,MB-clonallines-scars-plate2c1_26,MB-clonallines-scars-plate2c1_115,MB-clonallines-scars-plate2c1_148,MB-clonallines-scars-plate2c1_214,MB-clonallines-scars-plate2c1_36,MB-clonallines-scars-plate2c1_306,MB-clonallines-scars-plate2c1_286,MB-clonallines-scars-plate2c1_1,MB-clonallines-scars-plate2c1_379,MB-clonallines-scars-plate2c1_72,MB-clonallines-scars-plate2c1_85,MB-clonallines-scars-plate2c1_39,MB-clonallines-scars-plate2c1_263,MB-clonallines-scars-plate2c1_29,MB-clonallines-scars-plate2c1_288,MB-clonallines-scars-plate2c1_21,MB-clonallines-scars-plate2c1_324,MB-clonallines-scars-plate2c1_235,MB-clonallines-scars-plate2c1_245,MB-clonallines-scars-plate2c1_129,MB-clonallines-scars-plate2c1_308,MB-clonallines-scars-plate2c1_327,MB-clonallines-scars-plate2c1_160,MB-clonallines-scars-plate2c1_58,MB-clonallines-scars-plate2c1_40,MB-clonallines-scars-plate2c1_87,MB-clonallines-scars-plate2c1_17,MB-clonallines-scars-plate2c1_81,MB-clonallines-scars-plate2c1_230,MB-clonallines-scars-plate2c1_345,MB-clonallines-scars-plate2c1_343,MB-clonallines-scars-plate2c1_97,MB-clonallines-scars-plate2c1_252,MB-clonallines-scars-plate2c1_113,MB-clonallines-scars-plate2c1_250,MB-clonallines-scars-plate2c1_134,MB-clonallines-scars-plate2c1_280,MB-clonallines-scars-plate2c1_213,MB-clonallines-scars-plate2c1_65,MB-clonallines-scars-plate2c1_372,MB-clonallines-scars-plate2c1_312,MB-clonallines-scars-plate2c1_18,MB-clonallines-scars-plate2c1_225,MB-clonallines-scars-plate2c1_287,MB-clonallines-scars-plate2c1_351,MB-clonallines-scars-plate2c1_251,MB-clonallines-scars-plate2c1_67,MB-clonallines-scars-plate2c1_247,MB-clonallines-scars-plate2c1_348,MB-clonallines-scars-plate2c1_111,MB-clonallines-scars-plate2c1_282,MB-clonallines-scars-plate2c1_122,MB-clonallines-scars-plate2c1_83,MB-clonallines-scars-plate2c1_243,MB-clonallines-scars-plate2c1_277,MB-clonallines-scars-plate2c1_141,MB-clonallines-scars-plate2c1_74,MB-clonallines-scars-plate2c1_181,MB-clonallines-scars-plate2c1_363,MB-clonallines-scars-plate2c1_256,MB-clonallines-scars-plate2c1_274,MB-clonallines-scars-plate2c1_144,MB-clonallines-scars-plate2c1_228,MB-clonallines-scars-plate2c1_143,MB-clonallines-scars-plate2c1_2,MB-clonallines-scars-plate2c1_54,MB-clonallines-scars-plate2c1_161,MB-clonallines-scars-plate2c1_281,MB-clonallines-scars-plate2c1_131,MB-clonallines-scars-plate2c1_23,MB-clonallines-scars-plate2c1_25,MB-clonallines-scars-plate2c1_101,MB-clonallines-scars-plate2c1_249,MB-clonallines-scars-plate2c1_135,MB-clonallines-scars-plate2c1_108,MB-clonallines-scars-plate2c1_269,MB-clonallines-scars-plate2c1_187,MB-clonallines-scars-plate2c1_69,MB-clonallines-scars-plate2c1_117,MB-clonallines-scars-plate2c1_110,MB-clonallines-scars-plate2c1_240,MB-clonallines-scars-plate2c1_212,MB-clonallines-scars-plate2c1_354,MB-clonallines-scars-plate2c1_340,MB-clonallines-scars-plate2c1_66,MB-clonallines-scars-plate2c1_215,MB-clonallines-scars-plate2c1_76,MB-clonallines-scars-plate2c1_210,MB-clonallines-scars-plate2c1_375,MB-clonallines-scars-plate2c1_197,MB-clonallines-scars-plate2c1_105,MB-clonallines-scars-plate2c1_60,MB-clonallines-scars-plate2c1_285,MB-clonallines-scars-plate2c1_242,MB-clonallines-scars-plate2c1_298,MB-clonallines-scars-plate2c1_367,MB-clonallines-scars-plate2c1_204,MB-clonallines-scars-plate2c1_293,MB-clonallines-scars-plate2c1_246,MB-clonallines-scars-plate2c1_166,MB-clonallines-scars-plate2c1_159,MB-clonallines-scars-plate2c1_191,MB-clonallines-scars-plate2c1_294,MB-clonallines-scars-plate2c1_378,MB-clonallines-scars-plate2c1_370,MB-clonallines-scars-plate2c1_313,MB-clonallines-scars-plate2c1_186,MB-clonallines-scars-plate2c1_106,MB-clonallines-scars-plate2c1_163,MB-clonallines-scars-plate2c1_353,MB-clonallines-scars-plate2c1_71,MB-clonallines-scars-plate2c1_4,MB-clonallines-scars-plate2c1_361
chrom,allele,siteCoordinate,scarDescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,None,26605457,WT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,79458539,WT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114513427,WT,11.0,12.0,43.0,18.0,2.0,2.0,7.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114676846,WT,51.0,72.0,99.0,80.0,4.0,10.0,12.0,93.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,WT,2855.0,11802.0,2999.0,10764.0,1049.0,1029.0,5686.0,2079.0,,11.0,1.0,1.0,4.0,1.0,3.0,,1.0,,,,1.0,,2.0,2.0,1.0,,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682940.D,1.0,9.0,1.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,WT,2426.0,8628.0,2218.0,7484.0,710.0,1163.0,5174.0,1583.0,1.0,6.0,,4.0,3.0,2.0,1.0,1.0,,,1.0,2.0,3.0,1.0,,1.0,2.0,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682879.D,6.0,3.0,3.0,6.0,,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,WT,305.0,1695.0,326.0,1754.0,189.0,145.0,672.0,274.0,,3.0,,1.0,,,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,"114682756.D,114682757.D,114682758.D",1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,114682879.D,4.0,8.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682764.D,1.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,"114682783.D,114682784.D,114682785.D,114682786.D,114682787.D",2.0,1.0,,6.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,114682879.D,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
