sampleName,,,,MB-clonallines-scars-plate2c5_105,MB-clonallines-scars-plate2c5_97,MB-clonallines-scars-plate2c5_107,MB-clonallines-scars-plate2c5_99,MB-clonallines-scars-plate2c5_109,MB-clonallines-scars-plate2c5_111,MB-clonallines-scars-plate2c5_103,MB-clonallines-scars-plate2c5_101,MB-clonallines-scars-plate2c5_58,MB-clonallines-scars-plate2c5_52,MB-clonallines-scars-plate2c5_19,MB-clonallines-scars-plate2c5_121,MB-clonallines-scars-plate2c5_62,MB-clonallines-scars-plate2c5_361,MB-clonallines-scars-plate2c5_54,MB-clonallines-scars-plate2c5_42,MB-clonallines-scars-plate2c5_133,MB-clonallines-scars-plate2c5_50,MB-clonallines-scars-plate2c5_334,MB-clonallines-scars-plate2c5_17,MB-clonallines-scars-plate2c5_13,MB-clonallines-scars-plate2c5_131,MB-clonallines-scars-plate2c5_378,MB-clonallines-scars-plate2c5_64,MB-clonallines-scars-plate2c5_22,MB-clonallines-scars-plate2c5_60,MB-clonallines-scars-plate2c5_123,MB-clonallines-scars-plate2c5_30,MB-clonallines-scars-plate2c5_18,MB-clonallines-scars-plate2c5_127,MB-clonallines-scars-plate2c5_250,MB-clonallines-scars-plate2c5_29,MB-clonallines-scars-plate2c5_69,MB-clonallines-scars-plate2c5_21,MB-clonallines-scars-plate2c5_129,MB-clonallines-scars-plate2c5_20,MB-clonallines-scars-plate2c5_125,MB-clonallines-scars-plate2c5_369,MB-clonallines-scars-plate2c5_325,MB-clonallines-scars-plate2c5_3,MB-clonallines-scars-plate2c5_36,MB-clonallines-scars-plate2c5_8,MB-clonallines-scars-plate2c5_16,MB-clonallines-scars-plate2c5_363,MB-clonallines-scars-plate2c5_82,MB-clonallines-scars-plate2c5_80,MB-clonallines-scars-plate2c5_135,MB-clonallines-scars-plate2c5_110,MB-clonallines-scars-plate2c5_7,MB-clonallines-scars-plate2c5_39,MB-clonallines-scars-plate2c5_353,MB-clonallines-scars-plate2c5_2,MB-clonallines-scars-plate2c5_216,MB-clonallines-scars-plate2c5_345,MB-clonallines-scars-plate2c5_100,MB-clonallines-scars-plate2c5_26,MB-clonallines-scars-plate2c5_379,MB-clonallines-scars-plate2c5_15,MB-clonallines-scars-plate2c5_115,MB-clonallines-scars-plate2c5_200,MB-clonallines-scars-plate2c5_32,MB-clonallines-scars-plate2c5_154,MB-clonallines-scars-plate2c5_47,MB-clonallines-scars-plate2c5_10,MB-clonallines-scars-plate2c5_38,MB-clonallines-scars-plate2c5_51,MB-clonallines-scars-plate2c5_53,MB-clonallines-scars-plate2c5_179,MB-clonallines-scars-plate2c5_35,MB-clonallines-scars-plate2c5_197,MB-clonallines-scars-plate2c5_88,MB-clonallines-scars-plate2c5_37,MB-clonallines-scars-plate2c5_318,MB-clonallines-scars-plate2c5_384,MB-clonallines-scars-plate2c5_34,MB-clonallines-scars-plate2c5_218,MB-clonallines-scars-plate2c5_40,MB-clonallines-scars-plate2c5_14,MB-clonallines-scars-plate2c5_264,MB-clonallines-scars-plate2c5_1,MB-clonallines-scars-plate2c5_246,MB-clonallines-scars-plate2c5_56,MB-clonallines-scars-plate2c5_74,MB-clonallines-scars-plate2c5_157,MB-clonallines-scars-plate2c5_284,MB-clonallines-scars-plate2c5_329,MB-clonallines-scars-plate2c5_6,MB-clonallines-scars-plate2c5_321,MB-clonallines-scars-plate2c5_98,MB-clonallines-scars-plate2c5_72,MB-clonallines-scars-plate2c5_230,MB-clonallines-scars-plate2c5_172,MB-clonallines-scars-plate2c5_92,MB-clonallines-scars-plate2c5_178,MB-clonallines-scars-plate2c5_332,MB-clonallines-scars-plate2c5_279,MB-clonallines-scars-plate2c5_4,MB-clonallines-scars-plate2c5_274,MB-clonallines-scars-plate2c5_84,MB-clonallines-scars-plate2c5_9,MB-clonallines-scars-plate2c5_5,MB-clonallines-scars-plate2c5_28,MB-clonallines-scars-plate2c5_143,MB-clonallines-scars-plate2c5_307,MB-clonallines-scars-plate2c5_134,MB-clonallines-scars-plate2c5_33,MB-clonallines-scars-plate2c5_81,MB-clonallines-scars-plate2c5_360,MB-clonallines-scars-plate2c5_87,MB-clonallines-scars-plate2c5_327,MB-clonallines-scars-plate2c5_234,MB-clonallines-scars-plate2c5_41,MB-clonallines-scars-plate2c5_259,MB-clonallines-scars-plate2c5_122,MB-clonallines-scars-plate2c5_112,MB-clonallines-scars-plate2c5_240,MB-clonallines-scars-plate2c5_108,MB-clonallines-scars-plate2c5_326,MB-clonallines-scars-plate2c5_181,MB-clonallines-scars-plate2c5_160,MB-clonallines-scars-plate2c5_145,MB-clonallines-scars-plate2c5_359,MB-clonallines-scars-plate2c5_31,MB-clonallines-scars-plate2c5_245,MB-clonallines-scars-plate2c5_280,MB-clonallines-scars-plate2c5_61,MB-clonallines-scars-plate2c5_89,MB-clonallines-scars-plate2c5_49,MB-clonallines-scars-plate2c5_243,MB-clonallines-scars-plate2c5_373,MB-clonallines-scars-plate2c5_298,MB-clonallines-scars-plate2c5_46,MB-clonallines-scars-plate2c5_223,MB-clonallines-scars-plate2c5_75,MB-clonallines-scars-plate2c5_210,MB-clonallines-scars-plate2c5_45
chrom,allele,siteCoordinate,scarDescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,None,60445832,WT,11.0,2.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,None,121763233,WT,6.0,,,3.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114513427,WT,15.0,18.0,7.0,14.0,6.0,14.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114676846,WT,16.0,340.0,11.0,367.0,57.0,17.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,WT,3338.0,23159.0,1353.0,3989.0,12549.0,2435.0,268.0,690.0,2.0,10.0,1.0,2.0,4.0,1.0,5.0,,1.0,2.0,,2.0,1.0,,,1.0,2.0,,,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,WT,2954.0,20615.0,1230.0,3146.0,9973.0,1543.0,252.0,760.0,5.0,6.0,1.0,2.0,13.0,,1.0,1.0,1.0,2.0,1.0,,,,1.0,,,,1.0,1.0,,2.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,114682941.D,2.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,WT,825.0,4742.0,357.0,832.0,2630.0,497.0,77.0,164.0,1.0,,,1.0,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,114682879.D,1.0,11.0,1.0,3.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682941.D,1.0,22.0,2.0,2.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682943.D,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,"114682928.D,114682929.D,114682930.D",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,"114682778.D,114682779.D,114682780.D,114682781.D,114682782.D",10.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
