sampleName,,,,MB-clonallines-scars-plate1c2_26,MB-clonallines-scars-plate1c2_36,MB-clonallines-scars-plate1c2_40,MB-clonallines-scars-plate1c2_28,MB-clonallines-scars-plate1c2_30,MB-clonallines-scars-plate1c2_34,MB-clonallines-scars-plate1c2_32,MB-clonallines-scars-plate1c2_38,MB-clonallines-scars-plate1c2_2,MB-clonallines-scars-plate1c2_112,MB-clonallines-scars-plate1c2_99,MB-clonallines-scars-plate1c2_145,MB-clonallines-scars-plate1c2_14,MB-clonallines-scars-plate1c2_37,MB-clonallines-scars-plate1c2_139,MB-clonallines-scars-plate1c2_5,MB-clonallines-scars-plate1c2_109,MB-clonallines-scars-plate1c2_50,MB-clonallines-scars-plate1c2_3,MB-clonallines-scars-plate1c2_129,MB-clonallines-scars-plate1c2_58,MB-clonallines-scars-plate1c2_7,MB-clonallines-scars-plate1c2_19,MB-clonallines-scars-plate1c2_49,MB-clonallines-scars-plate1c2_378,MB-clonallines-scars-plate1c2_174,MB-clonallines-scars-plate1c2_17,MB-clonallines-scars-plate1c2_8,MB-clonallines-scars-plate1c2_97,MB-clonallines-scars-plate1c2_13,MB-clonallines-scars-plate1c2_280,MB-clonallines-scars-plate1c2_21,MB-clonallines-scars-plate1c2_107,MB-clonallines-scars-plate1c2_332,MB-clonallines-scars-plate1c2_82,MB-clonallines-scars-plate1c2_202,MB-clonallines-scars-plate1c2_111,MB-clonallines-scars-plate1c2_376,MB-clonallines-scars-plate1c2_381,MB-clonallines-scars-plate1c2_101,MB-clonallines-scars-plate1c2_29,MB-clonallines-scars-plate1c2_27,MB-clonallines-scars-plate1c2_42,MB-clonallines-scars-plate1c2_240,MB-clonallines-scars-plate1c2_69,MB-clonallines-scars-plate1c2_86,MB-clonallines-scars-plate1c2_47,MB-clonallines-scars-plate1c2_1,MB-clonallines-scars-plate1c2_4,MB-clonallines-scars-plate1c2_84,MB-clonallines-scars-plate1c2_35,MB-clonallines-scars-plate1c2_122,MB-clonallines-scars-plate1c2_307,MB-clonallines-scars-plate1c2_103,MB-clonallines-scars-plate1c2_135,MB-clonallines-scars-plate1c2_355,MB-clonallines-scars-plate1c2_190,MB-clonallines-scars-plate1c2_79,MB-clonallines-scars-plate1c2_243,MB-clonallines-scars-plate1c2_298,MB-clonallines-scars-plate1c2_41,MB-clonallines-scars-plate1c2_52,MB-clonallines-scars-plate1c2_262,MB-clonallines-scars-plate1c2_76,MB-clonallines-scars-plate1c2_46,MB-clonallines-scars-plate1c2_43,MB-clonallines-scars-plate1c2_62,MB-clonallines-scars-plate1c2_77,MB-clonallines-scars-plate1c2_88,MB-clonallines-scars-plate1c2_351,MB-clonallines-scars-plate1c2_150,MB-clonallines-scars-plate1c2_31,MB-clonallines-scars-plate1c2_60,MB-clonallines-scars-plate1c2_192,MB-clonallines-scars-plate1c2_105,MB-clonallines-scars-plate1c2_131,MB-clonallines-scars-plate1c2_372,MB-clonallines-scars-plate1c2_161,MB-clonallines-scars-plate1c2_108,MB-clonallines-scars-plate1c2_330,MB-clonallines-scars-plate1c2_216,MB-clonallines-scars-plate1c2_83,MB-clonallines-scars-plate1c2_22,MB-clonallines-scars-plate1c2_67,MB-clonallines-scars-plate1c2_39,MB-clonallines-scars-plate1c2_259,MB-clonallines-scars-plate1c2_54,MB-clonallines-scars-plate1c2_25,MB-clonallines-scars-plate1c2_177,MB-clonallines-scars-plate1c2_96,MB-clonallines-scars-plate1c2_81
chrom,allele,siteCoordinate,scarDescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,None,60445831,WT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,None,60445832,WT,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,None,121763233,WT,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114513427,WT,12.0,2.0,3.0,6.0,7.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114615947,WT,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114676846,WT,94.0,29.0,42.0,44.0,46.0,18.0,2.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,WT,8369.0,5681.0,9032.0,1055.0,7729.0,1601.0,1358.0,899.0,,1.0,,,1.0,,6.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682943.D,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,WT,9545.0,6506.0,9629.0,1389.0,8862.0,1572.0,2203.0,1011.0,,,1.0,1.0,,1.0,7.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,114682879.D,5.0,3.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682941.D,5.0,1.0,9.0,,5.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,114682941.D,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682830.D,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
