sampleName,,,,MB-clonallines-scars-plate2c7_121,MB-clonallines-scars-plate2c7_133,MB-clonallines-scars-plate2c7_123,MB-clonallines-scars-plate2c7_129,MB-clonallines-scars-plate2c7_131,MB-clonallines-scars-plate2c7_125,MB-clonallines-scars-plate2c7_127,MB-clonallines-scars-plate2c7_135,MB-clonallines-scars-plate2c7_1,MB-clonallines-scars-plate2c7_2,MB-clonallines-scars-plate2c7_16,MB-clonallines-scars-plate2c7_235,MB-clonallines-scars-plate2c7_163,MB-clonallines-scars-plate2c7_106,MB-clonallines-scars-plate2c7_95,MB-clonallines-scars-plate2c7_96,MB-clonallines-scars-plate2c7_239,MB-clonallines-scars-plate2c7_61,MB-clonallines-scars-plate2c7_49,MB-clonallines-scars-plate2c7_108,MB-clonallines-scars-plate2c7_145,MB-clonallines-scars-plate2c7_11,MB-clonallines-scars-plate2c7_42,MB-clonallines-scars-plate2c7_372,MB-clonallines-scars-plate2c7_130,MB-clonallines-scars-plate2c7_180,MB-clonallines-scars-plate2c7_45,MB-clonallines-scars-plate2c7_52,MB-clonallines-scars-plate2c7_89,MB-clonallines-scars-plate2c7_14,MB-clonallines-scars-plate2c7_82,MB-clonallines-scars-plate2c7_7,MB-clonallines-scars-plate2c7_32,MB-clonallines-scars-plate2c7_149,MB-clonallines-scars-plate2c7_147,MB-clonallines-scars-plate2c7_104,MB-clonallines-scars-plate2c7_44,MB-clonallines-scars-plate2c7_132,MB-clonallines-scars-plate2c7_97,MB-clonallines-scars-plate2c7_98,MB-clonallines-scars-plate2c7_144,MB-clonallines-scars-plate2c7_76,MB-clonallines-scars-plate2c7_33,MB-clonallines-scars-plate2c7_88,MB-clonallines-scars-plate2c7_60,MB-clonallines-scars-plate2c7_13,MB-clonallines-scars-plate2c7_216,MB-clonallines-scars-plate2c7_35,MB-clonallines-scars-plate2c7_109,MB-clonallines-scars-plate2c7_80,MB-clonallines-scars-plate2c7_100,MB-clonallines-scars-plate2c7_15,MB-clonallines-scars-plate2c7_39,MB-clonallines-scars-plate2c7_37,MB-clonallines-scars-plate2c7_83,MB-clonallines-scars-plate2c7_19,MB-clonallines-scars-plate2c7_102,MB-clonallines-scars-plate2c7_30,MB-clonallines-scars-plate2c7_185,MB-clonallines-scars-plate2c7_21,MB-clonallines-scars-plate2c7_159,MB-clonallines-scars-plate2c7_161,MB-clonallines-scars-plate2c7_211,MB-clonallines-scars-plate2c7_26,MB-clonallines-scars-plate2c7_54,MB-clonallines-scars-plate2c7_107,MB-clonallines-scars-plate2c7_370,MB-clonallines-scars-plate2c7_238,MB-clonallines-scars-plate2c7_300,MB-clonallines-scars-plate2c7_258,MB-clonallines-scars-plate2c7_290,MB-clonallines-scars-plate2c7_189,MB-clonallines-scars-plate2c7_280,MB-clonallines-scars-plate2c7_105,MB-clonallines-scars-plate2c7_38,MB-clonallines-scars-plate2c7_10,MB-clonallines-scars-plate2c7_43,MB-clonallines-scars-plate2c7_301,MB-clonallines-scars-plate2c7_115,MB-clonallines-scars-plate2c7_47,MB-clonallines-scars-plate2c7_141,MB-clonallines-scars-plate2c7_124,MB-clonallines-scars-plate2c7_251,MB-clonallines-scars-plate2c7_143,MB-clonallines-scars-plate2c7_302,MB-clonallines-scars-plate2c7_168,MB-clonallines-scars-plate2c7_66,MB-clonallines-scars-plate2c7_272,MB-clonallines-scars-plate2c7_356,MB-clonallines-scars-plate2c7_242,MB-clonallines-scars-plate2c7_9,MB-clonallines-scars-plate2c7_351,MB-clonallines-scars-plate2c7_213,MB-clonallines-scars-plate2c7_246,MB-clonallines-scars-plate2c7_117,MB-clonallines-scars-plate2c7_289,MB-clonallines-scars-plate2c7_62,MB-clonallines-scars-plate2c7_374,MB-clonallines-scars-plate2c7_376,MB-clonallines-scars-plate2c7_122,MB-clonallines-scars-plate2c7_368,MB-clonallines-scars-plate2c7_73,MB-clonallines-scars-plate2c7_268,MB-clonallines-scars-plate2c7_317,MB-clonallines-scars-plate2c7_204,MB-clonallines-scars-plate2c7_74,MB-clonallines-scars-plate2c7_92,MB-clonallines-scars-plate2c7_58,MB-clonallines-scars-plate2c7_101,MB-clonallines-scars-plate2c7_40,MB-clonallines-scars-plate2c7_51,MB-clonallines-scars-plate2c7_134,MB-clonallines-scars-plate2c7_262,MB-clonallines-scars-plate2c7_227,MB-clonallines-scars-plate2c7_215,MB-clonallines-scars-plate2c7_25,MB-clonallines-scars-plate2c7_345
chrom,allele,siteCoordinate,scarDescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,None,21073145,WT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,None,111754961,WT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,None,121763233,WT,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114513427,WT,183.0,2.0,3.0,141.0,7.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114676846,WT,236.0,6.0,3.0,93.0,43.0,181.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,WT,6469.0,584.0,870.0,13838.0,14224.0,2233.0,805.0,880.0,,,,1.0,,1.0,2.0,1.0,3.0,2.0,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,WT,6666.0,578.0,1089.0,13190.0,15353.0,2890.0,501.0,1037.0,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682902.D,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682879.D,9.0,1.0,2.0,5.0,8.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,WT,840.0,195.0,125.0,1478.0,1828.0,280.0,65.0,116.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682941.D,5.0,,1.0,10.0,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,114682938.D,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682940.D,6.0,1.0,,6.0,5.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
